StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Disc_Type,IDs_1,IDs_2,Top_Solution,Top_Change,Stress,Upset,Disc_Sat,Threat,Challenge,Rel_Sal_1,Rel_Sal_2,Rel_Sal_3,Rel_Sal_4,Rel_Sal_DO,PPR_1,PPR_2,PPR_3,PPR_4,PPI_5,PPI_6,PPI_7,PPI_8,PPRI_DO,PAR_1,PAR_2,PAR_3,PAR_4,PAI_5,PAI_6,PAI_7,PAI_8,PARI_DO,Felt_Sec_1,Felt_Sec_2,Felt_Sec_3,Felt_Sec_4,Felt_Sec_5,Felt_Sec_6,Felt_Sec_7,Felt_Sec_8,Felt_Sec_9,Felt_Sec_DO,IOS_Post,PRQC_Post_1,SEP_1,SEP_2,SEP_3,SEP_4,SEP_5,SEP_DO,FL_20_DO,FL_14_DO,FL_15_DO,FL_23_DO,"++ProgressonTopic(Thompsonetal.,2018)_DO","++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)_DO","++Threat&Challenge(Peters,2016)_DO","++ResponsivenessPPRI(PRI-Crastaetal.,2021)_DO"
10/31/2022 17:27,10/31/2022 17:34,0,129.215.52.167,100,426,1,10/31/2022 17:34,R_3HSKqXlmKUBQNWH,,,,,55.9489,-3.1632,anonymous,EN,2,2035,1069,1,1,1,1,6,1,3,5,1,5,6,3|1|4|2,4,4,5,5,1,2,2,1,PPI_7|PPI_8|PPI_6|PPR_4|PPR_1|PPI_5|PPR_3|PPR_2,4,5,4,4,2,3,1,2,PAI_8|PAI_6|PAR_4|PAR_1|PAI_5|PAR_2|PAR_3|PAI_7,6,6,6,6,6,6,6,5,6,3|9|5|2|1|7|4|6|8,5,6,6,7,4,2,6,2|3|1|5|4,FL_19|FL_18,"++Threat&Challenge(Peters,2016)|++DiscussionSatisfaction(Jakubiak&Feeney,2019)|++ProgressonTopic(Thompsonetal.,2018)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)","++PRQC(Fletcheretal.,2000)|++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)|FL_22|++IOSCloseness(Aronetal.,1992)|++SEP(Lewandowski&Ackerman,2006)","++ResponsivenessPARI(PRI-Crastaetal.,2021)|++ResponsivenessPPRI(PRI-Crastaetal.,2021)",Top_Solution|Top_Change,Upset|Stress,Challenge|Threat,PPRI
10/31/2022 17:26,10/31/2022 17:34,0,129.215.52.229,100,464,1,10/31/2022 17:34,R_aeGO5zPXn2ZPO6d,,,,,55.9489,-3.1632,anonymous,EN,2,2035,1070,4,2,2,1,6,2,5,5,5,4,3,1|3|2|4,4,4,3,4,3,2,2,3,PPI_6|PPR_2|PPI_7|PPI_8|PPI_5|PPR_4|PPR_1|PPR_3,3,4,4,4,2,2,3,2,PAR_4|PAI_6|PAI_5|PAR_2|PAR_1|PAI_7|PAR_3|PAI_8,5,4,6,4,5,5,6,5,6,6|2|7|1|4|3|9|8|5,6,6,6,5,5,3,6,3|1|2|4|5,FL_19|FL_18,"++DiscussionSatisfaction(Jakubiak&Feeney,2019)|++ProgressonTopic(Thompsonetal.,2018)|++Threat&Challenge(Peters,2016)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)","FL_22|++PRQC(Fletcheretal.,2000)|++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)|++SEP(Lewandowski&Ackerman,2006)|++IOSCloseness(Aronetal.,1992)","++ResponsivenessPPRI(PRI-Crastaetal.,2021)|++ResponsivenessPARI(PRI-Crastaetal.,2021)",Top_Solution|Top_Change,Stress|Upset,Challenge|Threat,PPRI
10/31/2022 17:52,10/31/2022 17:58,0,129.215.52.229,100,377,1,10/31/2022 17:58,R_3ndgGrDfMogMjZO,,,,,55.9489,-3.1632,anonymous,EN,1,2035,1070,2,1,3,1,3,1,5,5,3,5,5,1|4|2|3,4,4,3,4,4,2,3,3,PPI_5|PPI_8|PPR_1|PPR_4|PPI_6|PPI_7|PPR_2|PPR_3,4,4,3,4,2,4,3,3,PAI_7|PAI_6|PAR_3|PAR_1|PAR_2|PAI_8|PAR_4|PAI_5,5,4,5,4,5,5,6,4,5,5|4|1|3|9|7|2|6|8,5,5,5,5,5,2,5,4|3|5|1|2,FL_18|FL_19,"++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)|++Threat&Challenge(Peters,2016)|++ProgressonTopic(Thompsonetal.,2018)|++DiscussionSatisfaction(Jakubiak&Feeney,2019)","++IOSCloseness(Aronetal.,1992)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)|++SEP(Lewandowski&Ackerman,2006)|++PRQC(Fletcheretal.,2000)|FL_22|++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)","++ResponsivenessPARI(PRI-Crastaetal.,2021)|++ResponsivenessPPRI(PRI-Crastaetal.,2021)",Top_Solution|Top_Change,Upset|Stress,Threat|Challenge,PPRI
10/31/2022 17:52,10/31/2022 17:59,0,129.215.52.167,100,407,1,10/31/2022 17:59,R_1jOjsP1l561QYOX,,,,,55.9489,-3.1632,anonymous,EN,1,2035,1069,1,1,3,4,4,5,3,4,4,5,4,3|2|4|1,3,4,3,3,2,4,3,3,PPR_4|PPR_3|PPI_8|PPI_6|PPR_2|PPI_7|PPR_1|PPI_5,4,3,4,4,2,3,3,3,PAI_6|PAR_4|PAI_8|PAR_3|PAI_5|PAR_1|PAI_7|PAR_2,4,4,5,5,5,4,5,5,5,5|9|7|3|8|4|2|1|6,5,6,6,6,3,2,6,4|2|5|3|1,FL_19|FL_18,"++DiscussionSatisfaction(Jakubiak&Feeney,2019)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)|++ProgressonTopic(Thompsonetal.,2018)|++Threat&Challenge(Peters,2016)","++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|++PRQC(Fletcheretal.,2000)|++IOSCloseness(Aronetal.,1992)|++SEP(Lewandowski&Ackerman,2006)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)|FL_22","++ResponsivenessPARI(PRI-Crastaetal.,2021)|++ResponsivenessPPRI(PRI-Crastaetal.,2021)",Top_Change|Top_Solution,Upset|Stress,Challenge|Threat,PPRI
11/2/2022 11:29,11/2/2022 11:32,0,129.215.52.167,100,158,1,11/2/2022 11:32,R_2xOUelck936FQsv,,,,,55.9489,-3.1632,anonymous,EN,1,2031,1061,7,7,1,1,6,1,5,6,4,6,6,4|1|2|3,5,5,5,5,1,1,1,1,PPI_7|PPR_1|PPR_4|PPR_2|PPI_8|PPI_6|PPR_3|PPI_5,5,5,5,5,1,1,1,1,PAR_3|PAR_4|PAR_1|PAI_8|PAR_2|PAI_7|PAI_6|PAI_5,6,6,6,6,6,6,6,6,6,8|5|4|1|7|3|9|2|6,4,6,7,7,2,1,7,5|1|3|2|4,FL_19|FL_18,"++Threat&Challenge(Peters,2016)|++ProgressonTopic(Thompsonetal.,2018)|++DiscussionSatisfaction(Jakubiak&Feeney,2019)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)","++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|FL_22|++PRQC(Fletcheretal.,2000)|++SEP(Lewandowski&Ackerman,2006)|++IOSCloseness(Aronetal.,1992)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)","++ResponsivenessPPRI(PRI-Crastaetal.,2021)|++ResponsivenessPARI(PRI-Crastaetal.,2021)",Top_Change|Top_Solution,Upset|Stress,Challenge|Threat,PPRI
11/2/2022 11:29,11/2/2022 11:33,0,129.215.52.229,100,225,1,11/2/2022 11:33,R_3rYVnFbfdh3RB1V,,,,,55.9489,-3.1632,anonymous,EN,1,2031,1062,7,6,2,1,6,1,5,7,6,7,6,1|4|2|3,5,5,4,4,1,2,4,1,PPR_2|PPR_1|PPI_5|PPR_4|PPR_3|PPI_7|PPI_6|PPI_8,4,5,5,5,1,1,2,1,PAR_4|PAI_7|PAR_2|PAR_1|PAI_5|PAR_3|PAI_6|PAI_8,6,6,5,6,6,6,6,5,6,8|7|3|2|4|1|5|9|6,6,7,7,7,1,1,7,3|5|4|1|2,FL_18|FL_19,"++DiscussionSatisfaction(Jakubiak&Feeney,2019)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)|++Threat&Challenge(Peters,2016)|++ProgressonTopic(Thompsonetal.,2018)","FL_22|++SEP(Lewandowski&Ackerman,2006)|++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|++PRQC(Fletcheretal.,2000)|++IOSCloseness(Aronetal.,1992)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)","++ResponsivenessPARI(PRI-Crastaetal.,2021)|++ResponsivenessPPRI(PRI-Crastaetal.,2021)",Top_Change|Top_Solution,Upset|Stress,Challenge|Threat,PPRI
11/2/2022 11:49,11/2/2022 11:52,0,129.215.52.167,100,202,1,11/2/2022 11:52,R_2WvEDKMpct53ZF8,,,,,55.9489,-3.1632,anonymous,EN,2,2031,1061,7,7,1,1,6,1,6,6,2,7,7,3|4|2|1,5,5,1,5,1,1,1,5,PPR_4|PPI_8|PPR_2|PPI_7|PPR_3|PPI_5|PPR_1|PPI_6,5,5,5,5,1,1,1,1,PAR_1|PAR_2|PAI_8|PAI_7|PAI_5|PAR_4|PAR_3|PAI_6,6,6,6,6,6,6,6,6,6,9|3|5|4|2|7|8|6|1,3,6,7,7,2,1,7,5|3|2|1|4,FL_18|FL_19,"++Threat&Challenge(Peters,2016)|++ProgressonTopic(Thompsonetal.,2018)|++DiscussionSatisfaction(Jakubiak&Feeney,2019)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)","++PRQC(Fletcheretal.,2000)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)|++IOSCloseness(Aronetal.,1992)|FL_22|++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|++SEP(Lewandowski&Ackerman,2006)","++ResponsivenessPARI(PRI-Crastaetal.,2021)|++ResponsivenessPPRI(PRI-Crastaetal.,2021)",Top_Solution|Top_Change,Stress|Upset,Threat|Challenge,PPRI
11/2/2022 11:50,11/2/2022 11:53,0,129.215.52.229,100,183,1,11/2/2022 11:53,R_2ffU78W6BwjpBgf,,,,,55.9489,-3.1632,anonymous,EN,2,2031,1062,7,6,1,1,7,1,7,7,1,6,6,1|4|2|3,5,5,5,4,1,2,2,1,PPI_5|PPI_6|PPR_1|PPR_3|PPI_8|PPR_4|PPI_7|PPR_2,4,5,5,5,1,1,2,1,PAI_8|PAI_5|PAR_2|PAR_4|PAI_6|PAI_7|PAR_3|PAR_1,6,6,6,6,6,6,6,4,6,9|5|4|7|8|1|3|2|6,6,7,7,7,1,1,7,1|3|2|4|5,FL_18|FL_19,"++ProgressonTopic(Thompsonetal.,2018)|++Threat&Challenge(Peters,2016)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)|++DiscussionSatisfaction(Jakubiak&Feeney,2019)","++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|++PRQC(Fletcheretal.,2000)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)|FL_22|++IOSCloseness(Aronetal.,1992)|++SEP(Lewandowski&Ackerman,2006)","++ResponsivenessPARI(PRI-Crastaetal.,2021)|++ResponsivenessPPRI(PRI-Crastaetal.,2021)",Top_Change|Top_Solution,Stress|Upset,Challenge|Threat,PPRI
11/2/2022 14:21,11/2/2022 14:33,0,129.215.52.167,100,750,1,11/2/2022 14:33,R_3njwLttmAF1IK3x,,,,,55.9489,-3.1632,anonymous,EN,1,2014,1027,7,7,1,1,7,1,5,4,2,7,6,4|1|3|2,5,4,5,5,2,1,1,1,PPI_7|PPR_4|PPR_1|PPR_3|PPI_6|PPR_2|PPI_5|PPI_8,5,5,4,5,1,1,2,2,PAR_1|PAR_3|PAR_2|PAR_4|PAI_8|PAI_5|PAI_6|PAI_7,6,6,4,6,6,5,5,4,6,9|8|7|2|6|1|4|5|3,6,7,6,5,2,1,6,4|2|3|5|1,FL_19|FL_18,"++Threat&Challenge(Peters,2016)|++Stress&Upset(Jayamaha,2017;Thompsonetal.,2018)|++ProgressonTopic(Thompsonetal.,2018)|++DiscussionSatisfaction(Jakubiak&Feeney,2019)","++FeltSecurity(Lukeetal.,2012/Jakubiak2019),Collins2019)|FL_22|++PRQC(Fletcheretal.,2000)|++IOSCloseness(Aronetal.,1992)|++SEP(Lewandowski&Ackerman,2006)|+RelationalSalience(Jakubiak,Fuentes,&Feeney,2022)","++ResponsivenessPARI(PRI-Crastaetal.,2021)|++ResponsivenessPPRI(PRI-Crastaetal.,2021)",Top_Solution|Top_Change,Stress|Upset,Threat|Challenge,PPRI
